District,2005,2010,2038,2050
01_01_EP_NW,0,0,1,1
02_02_WC_Ctr,0,0,1,1
03_03_CP_W,0,0,1,1
04_04_JACK,0,0,1,1
05_05_WMED_NE,0,0,1,1
06_06_EMED_NE,0,0,1,1
07_07_PHX_Ctr,0,0,1,1
08_08_TAL_Ctr,0,0,1,1
09_09_ASH_N,0,0,1,1
10_10_TOLO,0,0,1,1
11_11_NMED_N,0,0,1,1
09_12_ASH_Ctr,0,1,1,1
03_13_CP_E,0,0,1,1
05_14_WMED_SE,0,0,1,1
05_15_WMED_E,0,0,1,1
06_16_EMED_NW,0,0,1,1
06_17_EMED_SW,0,0,1,1
11_18_NMED_SW,0,0,1,1
09_19_ASH_SW,0,0,1,1
06_20_EMED_N,0,0,1,1
01_21_EP_SE,0,0,1,1
02_22_WC_S,0,0,1,1
06_23_EMED_Ctr,0,0,1,1
03_24_CP_N,0,0,1,1
03_25_CP_S,0,0,1,1
05_26_WMED_NW,0,0,1,1
05_27_WMED_Ctr,0,0,1,1
06_28_EMED_SE,0,0,1,1
07_29_PHX_W,0,0,1,1
07_30_PHX_E,0,0,1,1
09_31_ASH_CtrE,0,0,1,1
11_32_NMED_SE,0,0,1,1
08_33_TAL_E,0,0,1,1
08_34_TAL_W,0,0,1,1
09_35_ASH_E,0,0,1,1
09_36_ASH_NW,0,0,1,1
05_37_WMED_SW,0,0,1,1
05_38_WMED_ESE,0,0,1,1
06_39_EMED_W,0,0,1,1
