Division,2005,2015,2038,2050
D1,0.447269857,0.447269857,0.34,0.34
D10,0.447269857,0.447269857,0.34,0.34
D101,0.447269857,0.447269857,0.34,0.34
D102,0.447269857,0.447269857,0.34,0.34
D11,0.447269857,0.447269857,0.34,0.34
D111,0.447269857,0.447269857,0.34,0.34
D112,0.447269857,0.447269857,0.34,0.34
D113,0.447269857,0.447269857,0.34,0.34
D114,0.447269857,0.447269857,0.34,0.34
D12,0.447269857,0.447269857,0.34,0.34
D121,0.447269857,0.447269857,0.34,0.34
D122,0.447269857,0.447269857,0.34,0.34
D123,0.447269857,0.447269857,0.34,0.34
D124,0.447269857,0.447269857,0.34,0.34
D131,0.447269857,0.447269857,0.34,0.34
D132,0.447269857,0.447269857,0.34,0.34
D133,0.447269857,0.447269857,0.34,0.34
D134,0.447269857,0.447269857,0.34,0.34
D141,0.447269857,0.447269857,0.34,0.34
D142,0.447269857,0.447269857,0.34,0.34
D143,0.447269857,0.447269857,0.34,0.34
D15,0.447269857,0.447269857,0.34,0.34
D151,0.447269857,0.447269857,0.34,0.34
D152,0.447269857,0.447269857,0.34,0.34
D153,0.447269857,0.447269857,0.34,0.34
D16,0.447269857,0.447269857,0.34,0.34
D163,0.447269857,0.447269857,0.34,0.34
D164,0.447269857,0.447269857,0.34,0.34
D17,0.447269857,0.447269857,0.34,0.34
D171,0.447269857,0.447269857,0.34,0.34
D172,0.447269857,0.447269857,0.34,0.34
D173,0.447269857,0.447269857,0.34,0.34
D18,0.447269857,0.447269857,0.34,0.34
D181,0.447269857,0.447269857,0.34,0.34
D182,0.447269857,0.447269857,0.34,0.34
D191,0.447269857,0.447269857,0.34,0.34
D192,0.447269857,0.447269857,0.34,0.34
D2,0.447269857,0.447269857,0.34,0.34
D21,0.447269857,0.447269857,0.34,0.34
D22,0.447269857,0.447269857,0.34,0.34
D23,0.447269857,0.447269857,0.34,0.34
D24,0.447269857,0.447269857,0.34,0.34
D3,0.447269857,0.447269857,0.34,0.34
D31,0.447269857,0.447269857,0.34,0.34
D32,0.447269857,0.447269857,0.34,0.34
D33,0.447269857,0.447269857,0.34,0.34
D34,0.447269857,0.447269857,0.34,0.34
D35,0.447269857,0.447269857,0.34,0.34
D36,0.447269857,0.447269857,0.34,0.34
D4,0.447269857,0.447269857,0.34,0.34
D41,0.447269857,0.447269857,0.34,0.34
D43,0.447269857,0.447269857,0.34,0.34
D44,0.447269857,0.447269857,0.34,0.34
D45,0.447269857,0.447269857,0.34,0.34
D46,0.447269857,0.447269857,0.34,0.34
D47,0.447269857,0.447269857,0.34,0.34
D48,0.447269857,0.447269857,0.34,0.34
D49,0.447269857,0.447269857,0.34,0.34
D5,0.447269857,0.447269857,0.34,0.34
D51,0.447269857,0.447269857,0.34,0.34
D52,0.447269857,0.447269857,0.34,0.34
D6,0.447269857,0.447269857,0.34,0.34
D61,0.447269857,0.447269857,0.34,0.34
D62,0.447269857,0.447269857,0.34,0.34
D7,0.447269857,0.447269857,0.34,0.34
D71,0.447269857,0.447269857,0.34,0.34
D72,0.447269857,0.447269857,0.34,0.34
D73,0.447269857,0.447269857,0.34,0.34
D74,0.447269857,0.447269857,0.34,0.34
D75,0.447269857,0.447269857,0.34,0.34
D76,0.447269857,0.447269857,0.34,0.34
D8,0.447269857,0.447269857,0.34,0.34
D81,0.447269857,0.447269857,0.34,0.34
D82,0.447269857,0.447269857,0.34,0.34
D83,0.447269857,0.447269857,0.34,0.34
D9,0.447269857,0.447269857,0.34,0.34
D91,0.447269857,0.447269857,0.34,0.34
D92,0.447269857,0.447269857,0.34,0.34
