District,2005,2010,2038,2050
01_01_EP_NW,1.556,1.556,0.9,0.9
02_02_WC_Ctr,1.556,1.556,0.9,0.9
03_03_CP_W,1.556,1.556,0.9,0.9
04_04_JACK,1.556,1.556,0.9,0.9
05_05_WMED_NE,1.556,1.556,0.9,0.9
06_06_EMED_NE,1.556,1.556,0.9,0.9
07_07_PHX_Ctr,1.556,1.556,0.9,0.9
08_08_TAL_Ctr,1.556,1.556,0.9,0.9
09_09_ASH_N,0.128,0.128,0.128,0.128
10_10_TOLO,1.556,1.556,0.9,0.9
11_11_NMED_N,1.556,1.556,0.9,0.9
09_12_ASH_Ctr,0.128,0.128,0.128,0.128
03_13_CP_E,1.556,1.556,0.9,0.9
05_14_WMED_SE,1.556,1.556,0.9,0.9
05_15_WMED_E,1.556,1.556,0.9,0.9
06_16_EMED_NW,1.556,1.556,0.9,0.9
06_17_EMED_SW,1.556,1.556,0.9,0.9
11_18_NMED_SW,1.556,1.556,0.9,0.9
09_19_ASH_SW,0.128,0.128,0.128,0.128
06_20_EMED_N,1.556,1.556,0.9,0.9
01_21_EP_SE,1.556,1.556,0.9,0.9
02_22_WC_S,1.556,1.556,0.9,0.9
06_23_EMED_Ctr,1.556,1.556,0.9,0.9
03_24_CP_N,1.556,1.556,0.9,0.9
03_25_CP_S,1.556,1.556,0.9,0.9
05_26_WMED_NW,1.556,1.556,0.9,0.9
05_27_WMED_Ctr,1.556,1.556,0.9,0.9
06_28_EMED_SE,1.556,1.556,0.9,0.9
07_29_PHX_W,1.556,1.556,0.9,0.9
07_30_PHX_E,1.556,1.556,0.9,0.9
09_31_ASH_CtrE,0.128,0.128,0.128,0.128
11_32_NMED_SE,1.556,1.556,0.9,0.9
08_33_TAL_E,1.556,1.556,0.9,0.9
08_34_TAL_W,1.556,1.556,0.9,0.9
09_35_ASH_E,0.128,0.128,0.128,0.128
09_36_ASH_NW,0.128,0.128,0.128,0.128
05_37_WMED_SW,1.556,1.556,0.9,0.9
05_38_WMED_ESE,1.556,1.556,0.9,0.9
06_39_EMED_W,1.556,1.556,0.9,0.9
